subject_country,migrated_country,region,total_migrant,male_migrant,female_migrant,18to24_migrant,25to34_migrant,35_to_54_migrant,55+_migrant
Azerbaijan,Cyprus,Asia,0,0,0,0,0,0,0
Azerbaijan,Czechia,Europe,0,0,0,0,0,0,0
Azerbaijan,Denmark,Europe,0,0,0,0,0,0,0
Azerbaijan,Dominican Republic,Americas,0,0,0,0,0,0,0
Azerbaijan,Ecuador,Americas,0,0,0,0,0,0,0
Azerbaijan,Egypt,Africa,0,0,0,0,0,0,0
Azerbaijan,Estonia,Europe,0,0,0,0,0,0,0
Azerbaijan,Ethiopia,Africa,0,0,0,0,0,0,0
Azerbaijan,Finland,Europe,0,0,0,0,0,0,0
Azerbaijan,France,Europe,0,0,0,0,0,0,0
Azerbaijan,Georgia,Asia,0,0,0,0,0,0,0
Azerbaijan,Germany,Europe,980,400,0,630,0,0,0
Azerbaijan,Ghana,Africa,0,0,0,0,0,0,0
Azerbaijan,Greece,Europe,0,0,0,0,0,0,0
Azerbaijan,Guatemala,Americas,0,0,0,0,0,0,0
Azerbaijan,Honduras,Americas,0,0,0,0,0,0,0
Azerbaijan,"Hong Kong SAR, China",Asia,0,0,0,0,0,0,0
Azerbaijan,Hungary,Europe,0,0,0,0,0,0,0
Azerbaijan,Iceland,Europe,0,0,0,0,0,0,0
Azerbaijan,India,Asia,0,0,0,0,0,0,0
Azerbaijan,Indonesia,Asia,0,0,0,0,0,0,0
Azerbaijan,Iraq,Asia,0,0,0,0,0,0,0
Azerbaijan,Ireland,Europe,0,0,0,0,0,0,0
Azerbaijan,Israel,Asia,0,0,0,0,0,0,0
Azerbaijan,Italy,Europe,0,0,0,0,0,0,0
Azerbaijan,Japan,Asia,0,0,0,0,0,0,0
Azerbaijan,Jordan,Asia,0,0,0,0,0,0,0
Azerbaijan,Kazakhstan,Asia,0,0,0,0,0,0,0
Azerbaijan,Kenya,Africa,0,0,0,0,0,0,0
